"cname";"bid";"bname";"strt_session";"m_ord";"l_ord";"i_ord";"i_name";"type_id";"type_descr";"graded";"started";"completed";"total";"interact_cnt";"gr_character";"sh_started";"dropping";"plot_name";"percplot";"num_name";"m_ord_plus1";"sum";"number_itemImod";"percent2";"drop_1stitem"
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;3;1;"Introduction and Scope of Neuroeconomics";6;"exam";1;424;511;935;40994;"g";0,453475935828877;0,293379353624098;"1 3 1 Introduction and Scope of Neu(g)~";"17.3";131;2;9;8;17,2;1
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;4;0;"Do people have Free Will...?";12;"phased peer";1;41;223;264;3534;"g";0,15530303030303;0,0828365233762159;"1 4 0 Do people have Free Will...? (g)";"18.5";140;2;9;9;18,2;0,282352941176471
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;0;"A Brief Intro to Neuroanatomy and Neurophysiology";1;"lecture";20;153;524;677;1624;"";0,225997045790251;0,212425478506432;"2 0 0 A Brief Intro to Neuroanatomy~";"19.8";200;3;7;1;19,5;0,724064171122995
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;1;"Methods of Cognitive Neuroscience. Lesions, Brain Stimulation";1;"lecture";20;71;458;529;1335;"";0,13421550094518;0,16598682146219;"2 0 1 Methods of Cognitive Neurosci~";"21";201;3;7;2;20,8;0,565775401069519
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;0;"Single-cell Recordings, EEG & MEG";1;"lecture";20;54;406;460;1128;"";0,117391304347826;0,144336366488861;"2 1 0 Single-cell Recordings, EEG & MEG ";"22.2";210;3;7;3;22,1;0,491978609625668
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;1;"Functional Magnetic Resonance Imaging (fMRI)";1;"lecture";20;65;349;414;974;"";0,157004830917874;0,129902729839975;"2 1 1 Functional Magnetic Resonance~";"23.5";211;3;7;4;23,4;0,442780748663102
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;0;"Neuroanatomy and Neurophysiology";6;"exam";1;151;282;433;23135;"g";0,348729792147806;0,135864449325384;"2 2 0 Neuroanatomy and Neurophysiology (g)";"24.7";220;3;7;5;24,7;0,463101604278075
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;1;"Readings and Resources";3;"supplement";20;0;283;283;437;"";0;0,0887982428616254;"2 2 1 Readings and Resources ";"25.9";221;3;7;6;26;0,302673796791444
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;3;0;"Survey";19;"ungraded widget";20;91;156;247;521;"";0,368421052631579;0,0775023533103232;"2 3 0 Survey ";"27.2";230;3;7;7;27,3;0,264171122994652
"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;0;"Perceptual Decisions";1;"lecture";20;55;403;458;1094;"";0,120087336244541;0,143708817069344;"3 0 0 Perceptual Decisions ";"28.4";300;4;10;1;28,2;0,489839572192513
