"course_id";"cname";"bid";"bname";"strt_session";"m_ord";"l_ord";"i_ord";"i_name";"type_id";"type_descr";"graded";"started";"completed";"total";"interact_cnt"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;0;"About the Course";1;"lecture";0;"431";"2756";"3187";"6771"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;1;"Pre-survey on HSE online courses";19;"ungraded widget";0;"535";"1001";"1536";"3632"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;2;"Grading and Logistics";3;"supplement";0;"0";"2181";"2181";"2857"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;3;"Suggested Readings";3;"supplement";0;"0";"2065";"2065";"2781"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;4;"Course Plan";3;"supplement";0;"0";"1710";"1710";"2450"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";0;0;5;"About the Instructor";3;"supplement";0;"0";"1678";"1678";"2018"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;0;0;"Neuroeconomics as a Multidisciplinary Field";1;"lecture";0;"763";"1534";"2297";"5224"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;0;1;"Origin of Neuroeconomics";1;"lecture";0;"233";"1255";"1488";"3474"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;0;2;"Neuroeconomics & Decision-making Theory";1;"lecture";0;"135";"1169";"1304";"3128"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;1;0;"The Scope of Neuroeconomics";1;"lecture";0;"154";"949";"1103";"2738"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;1;1;"Some Philosophical Implications of Neuroeconomics";1;"lecture";0;"95";"873";"968";"2342"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;2;0;"Doctor Danil Razeev - ""Can Neuroscience measure Free Will?"" [Expert Opinion]";1;"lecture";0;"204";"672";"876";"1964"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;3;0;"Readings and Resources";3;"supplement";0;"0";"614";"614";"1062"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;3;1;"Introduction and Scope of Neuroeconomics";6;"exam";1;"424";"511";"935";"40994"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";1;4;0;"Do people have Free Will...?";12;"phased peer";1;"41";"223";"264";"3534"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;0;"A Brief Intro to Neuroanatomy and Neurophysiology";1;"lecture";0;"153";"524";"677";"1624"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;0;1;"Methods of Cognitive Neuroscience. Lesions, Brain Stimulation";1;"lecture";0;"71";"458";"529";"1335"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;0;"Single-cell Recordings, EEG & MEG";1;"lecture";0;"54";"406";"460";"1128"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;1;1;"Functional Magnetic Resonance Imaging (fMRI)";1;"lecture";0;"65";"349";"414";"974"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;0;"Neuroanatomy and Neurophysiology";6;"exam";1;"151";"282";"433";"23135"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;2;1;"Readings and Resources";3;"supplement";0;"0";"283";"283";"437"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";2;3;0;"Survey";19;"ungraded widget";0;"91";"156";"247";"521"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;0;"Perceptual Decisions";1;"lecture";0;"55";"403";"458";"1094"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;1;"Introduction to Diffusion Model";1;"lecture";0;"48";"369";"417";"1047"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;0;2;"Diffusion Model vs. Race Model";1;"lecture";0;"48";"329";"377";"935"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;1;0;"Perceptual Decision Making in the Human Brain";1;"lecture";0;"34";"316";"350";"828"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;1;1;"Collective Decisions of Honey Bees & Diffusion Mechanism";1;"lecture";0;"28";"294";"322";"703"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;2;0;"Doctor Sebastian Horn – ""Some Notes on Drift Diffusion Model"" [Expert Opinion]";1;"lecture";0;"36";"265";"301";"682"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;2;1;"Doctor Sebastian Horn – ""Some Notes on Drift Diffusion Model. Part II"" [Expert Opinion]";1;"lecture";0;"29";"241";"270";"583"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;3;0;"Decision-Making";6;"exam";1;"105";"236";"341";"14532"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;3;1;"Readings and Resources";3;"supplement";0;"0";"213";"213";"312"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";3;4;0;"Critical review: Diffusion model";12;"phased peer";1;"23";"153";"176";"2266"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;0;0;"Value, Utility, and Brain";1;"lecture";0;"36";"275";"311";"830"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;0;1;"The Nucleus Accumbens - The Core Valuation Region";1;"lecture";0;"21";"258";"279";"688"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;1;0;"The Nucleus Accumbens & Expected Value";1;"lecture";0;"19";"250";"269";"630"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;1;1;"The Nucleus Accumbens: Shopping, Marketing, and Learning";1;"lecture";0;"20";"242";"262";"612"
127;"Introduction to Neuroeconomics: How the Brain Makes Decisions";"branch~-_lmvJ9hEeib_xIuxQchHg";"Version 2";"2018-09-06 18:17:11.528";4;2;0;"The Orbitofrontal Cortex & Decision Values";1;"lecture";0;"16";"235";"251";"595"
